run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
coarse,2464853.000000000,9,Pluto Barycenter,2.85886422165081449e+01,-2.02714801185455222e+01,-1.49397697226005981e+01,2.17629738587541994e-03,1.81868225169999880e-03,-8.81519870469408076e-05
coarse,2464853.000000000,10,Sun,-1.28067241842655236e-03,-6.83776872727238135e-03,-2.90568416480763364e-03,7.82409234584699637e-06,-2.05742465354139461e-06,-1.10567315044502991e-06
tight,2461200.500000000,1,Mercury Barycenter,-3.96531288973726526e-01,-7.54941307570995007e-02,1.18387250629883910e-03,-1.37822465888266603e-03,-2.35625064760000315e-02,-1.24439850660629896e-02
tight,2461200.500000000,2,Venus Barycenter,-7.13052345977467250e-01,7.14421460317734847e-02,7.73356075456384101e-02,-2.96593343106500620e-03,-1.84096719343168000e-02,-8.09595670192954017e-03
tight,2461200.500000000,3,Earth-Moon Barycenter,-2.15896673178703008e-01,-9.15353726151446057e-01,-3.96668770607229215e-01,1.65454405170317002e-02,-3.38436546789526579e-03,-1.46731138618456697e-03
tight,2461200.500000000,4,Mars Barycenter,1.30738188433033997e+00,5.05060828814381302e-01,1.96589868240113097e-01,-4.85104240227087792e-03,1.27806402915100394e-02,5.99301515949689570e-03
tight,2461200.500000000,5,Jupiter Barycenter,-2.79157770400774297e+00,4.07803424106046641e+00,1.81595581702779008e+00,-6.48817261988174528e-03,-3.40785345882324087e-03,-1.30274075240449693e-03
tight,2461200.500000000,6,Saturn Barycenter,9.39045264621531217e+00,1.19755993947181394e+00,9.01859651785655442e-02,-9.76119455088573715e-04,5.09317810374493134e-03,2.14576639000535084e-03
tight,2461200.500000000,7,Uranus Barycenter,9.32867865570668187e+00,1.56877546290727405e+01,6.73886314070824444e+00,-3.48051050506505187e-03,1.54155866457534002e-03,7.24381784806699949e-04
tight,2461200.500000000,8,Neptune Barycenter,2.98529954912658511e+01,1.21352166451335597e+00,-2.46533751761997294e-01,-1.27354651048101593e-04,2.92019810929220998e-03,1.19842322965262905e-03
tight,2461200.500000000,9,Pluto Barycenter,1.96559259662743813e+01,-2.60549310296356111e+01,-1.40532194417267604e+01,2.70088474840246388e-03,1.30949220344618003e-03,-4.05114547677290601e-04
tight,2461200.500000000,10,Sun,-1.96318273687386916e-03,-4.98118159482131319e-03,-2.04017867860245301e-03,6.59117748920382712e-06,1.63511433888945209e-06,5.61441535551607376e-07
tight,2461565.750000000,1,Mercury Barycenter,-2.79116025289753100e-01,-3.32501001226577109e-01,-1.48222367936164806e-01,1.65321596157992842e-02,-1.34977408747213538e-02,-8.92393744522617001e-03
