comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
tight_jx_vs_horizons_de441,2461200.500000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461565.750000000,1,Mercury Barycenter,8.19586015857278386e-07,1.22608322827745269e+02,6.21063834348764561e-08,1.07534522207584138e-01
tight_jx_vs_horizons_de441,2461565.750000000,2,Venus Barycenter,6.60849494508579819e-07,9.88616772316548804e+01,1.78869763705060538e-08,3.09705275264921288e-02
tight_jx_vs_horizons_de441,2461565.750000000,3,Earth-Moon Barycenter,4.37964196939840031e-07,6.55185113050355170e+01,7.35595672220698050e-09,1.27365215579110600e-02
tight_jx_vs_horizons_de441,2461565.750000000,4,Mars Barycenter,2.65018098663253118e-07,3.96461432569851766e+01,2.26322668741148240e-09,3.91867932115940072e-03
tight_jx_vs_horizons_de441,2461565.750000000,5,Jupiter Barycenter,2.16369936707652097e-09,3.23684818149585218e-01,1.01807739082949283e-11,1.76275705874888673e-05
tight_jx_vs_horizons_de441,2461565.750000000,6,Saturn Barycenter,1.33098828740184245e-09,1.99113013721955251e-01,7.80820521779700854e-12,1.35195703075354401e-05
tight_jx_vs_horizons_de441,2461565.750000000,7,Uranus Barycenter,1.26170506388038976e-09,1.88748391007913768e-01,7.01362258636671373e-12,1.21437847779385081e-05
tight_jx_vs_horizons_de441,2461565.750000000,8,Neptune Barycenter,1.37883466176303038e-09,2.06270729447104034e-01,8.18307929658309774e-12,1.41686485941908002e-05
tight_jx_vs_horizons_de441,2461565.750000000,9,Pluto Barycenter,2.11439058480236525e-09,3.16308329314561598e-01,1.20125494719664070e-11,2.07992109107012016e-05
tight_jx_vs_horizons_de441,2461565.750000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461931.000000000,1,Mercury Barycenter,1.54675083309941478e-06,2.31390631135123527e+02,1.18721210902694290e-07,2.05560652291304297e-01
tight_jx_vs_horizons_de441,2461931.000000000,2,Venus Barycenter,1.16189311037892108e-06,1.73816735293686662e+02,3.32580581223003785e-08,5.75848921147335269e-02
tight_jx_vs_horizons_de441,2461931.000000000,3,Earth-Moon Barycenter,8.75955816025404933e-07,1.31041124904681510e+02,1.46638095825466863e-08,2.53897533553152782e-02
